Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
19	right	1	4.149	b2,O2	Con - Hard 2 & Easy 2	
20	right	1	1.280	B1,O1	Exp - Easy 1 & Easy 1	
21	left	1	0.921	O1,O1	Exp - Easy 1 & Easy 1	
22	right	1	0.866	B1,O1	Exp - Easy 1 & Easy 1	
23	left	1	1.026	o1,O1	Con - Hard 1 & Easy 1	
24	right	1	1.314	B2,O2	Exp - Easy 2 & Easy 2	
25	right	1	4.654	b1,o1	Exp - Hard 1 & Hard 1	
26	right	1	3.953	B1,O1	Exp - Easy 1 & Easy 1	
27	left	1	1.720	O2,o2	Exp - Easy 2 & Hard 2	
28	left	1	3.186	o2,O2	Con - Hard 2 & Easy 2	
29	left	1	1.127	O2,O2	Exp - Easy 2 & Easy 2	
30	right	1	1.843	b2,O2	Con - Hard 2 & Easy 2	
31	right	1	1.091	b2,o2	Exp - Hard 2 & Hard 2	
32	left	1	1.800	o2,o2	Exp - Hard 2 & Hard 2	
33	left	1	0.784	O2,O2	Exp - Easy 2 & Easy 2	
34	left	1	0.995	o1,o1	Exp - Hard 1 & Hard 1	
35	right	1	1.247	B1,O1	Exp - Easy 1 & Easy 1	
36	left	1	1.006	O1,o1	Con - Easy 1 & Hard 1	
37	right	1	1.471	b1,O1	Con - Hard 1 & Easy 1	
38	right	1	2.804	O2,b2	Con - Easy 2 & Hard 2	
39	right	1	2.998	b1,o1	Exp - Hard 1 & Hard 1	
40	right	0	6.422	o2,O2	Con - Hard 2 & Easy 2	
41	right	1	1.448	O1,b1	Con - Easy 1 & Hard 1	
42	left	1	1.729	o1,o1	Exp - Hard 1 & Hard 1	
43	right	1	1.911	O1,b1	Con - Easy 1 & Hard 1	
44	left	1	2.284	o2,o2	Exp - Hard 2 & Hard 2	
45	right	1	4.237	b1,o1	Exp - Hard 1 & Hard 1	
46	left	1	1.944	O2,o2	Exp - Easy 2 & Hard 2	
47	left	1	1.459	o1,o1	Exp - Hard 1 & Hard 1	
48	left	0	1.195	O2,b2	Con - Easy 2 & Hard 2	
49	right	1	2.853	B2,O2	Exp - Easy 2 & Easy 2	
50	left	1	2.801	O2,o2	Exp - Easy 2 & Hard 2	
51	left	1	1.458	O1,O1	Exp - Easy 1 & Easy 1	
52	left	1	1.040	o2,O2	Con - Hard 2 & Easy 2	
53	left	1	1.903	o2,O2	Con - Hard 2 & Easy 2	
54	left	1	0.671	O1,O1	Exp - Easy 1 & Easy 1	
55	right	1	0.662	B1,O1	Exp - Easy 1 & Easy 1	
56	right	1	1.553	b2,O2	Con - Hard 2 & Easy 2	
57	left	1	1.008	O1,O1	Exp - Easy 1 & Easy 1	
58	right	0	1.527	o1,o1	Exp - Hard 1 & Hard 1	
59	left	1	1.086	O2,O2	Exp - Easy 2 & Easy 2	
60	right	1	1.579	O2,b2	Con - Easy 2 & Hard 2	
61	left	1	1.098	O1,O1	Exp - Easy 1 & Easy 1	
62	right	1	1.640	b1,o1	Exp - Hard 1 & Hard 1	
63	right	1	2.311	b1,O1	Con - Hard 1 & Easy 1	
64	left	1	0.800	O1,O1	Exp - Easy 1 & Easy 1	
65	right	1	1.222	b2,o2	Exp - Hard 2 & Hard 2	
66	right	1	3.395	b2,O2	Con - Hard 2 & Easy 2	
67	right	0	1.110	O1,o1	Con - Easy 1 & Hard 1	
68	right	1	1.034	B1,O1	Exp - Easy 1 & Easy 1	
69	right	1	0.711	b1,o1	Exp - Hard 1 & Hard 1	
70	right	1	2.447	b1,O1	Con - Hard 1 & Easy 1	
71	left	0	3.995	O2,b2	Con - Easy 2 & Hard 2	
72	left	1	0.818	O2,O2	Exp - Easy 2 & Easy 2	
73	left	0	1.027	b2,O2	Con - Hard 2 & Easy 2	
74	left	1	1.898	O1,o1	Con - Easy 1 & Hard 1	
75	right	1	2.803	O1,b1	Con - Easy 1 & Hard 1	
76	left	1	1.219	o2,o2	Exp - Hard 2 & Hard 2	
77	right	1	5.235	O2,b2	Con - Easy 2 & Hard 2	
78	right	1	2.375	b2,o2	Exp - Hard 2 & Hard 2	
