Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
90	left	1	0.873	O1,B1	Exp - Easy 1 & Easy 1	
91	left	0	1.703	B2,o2	Con - Easy 2 & Hard 2	
92	left	0	1.623	o2,B2	Con - Hard 2 & Easy 2	
93	right	0	1.734	b2,b2	Exp - Hard 2 & Hard 2	
94	right	1	1.651	o2,b2	Exp - Hard 2 & Hard 2	
95	left	0	1.261	O2,B2	Exp - Easy 2 & Easy 2	
96	left	1	1.086	O1,B1	Exp - Easy 1 & Easy 1	
97	right	1	1.183	o2,b2	Exp - Hard 2 & Hard 2	
98	left	0	1.516	o1,B1	Con - Hard 1 & Easy 1	
99	right	0	1.161	b1,b1	Exp - Hard 1 & Hard 1	
100	left	1	1.069	B1,b1	Con - Easy 1 & Hard 1	
101	left	0	0.915	o1,B1	Con - Hard 1 & Easy 1	
102	right	1	0.834	B1,o1	Con - Easy 1 & Hard 1	
103	right	0	1.155	b1,b1	Exp - Hard 1 & Hard 1	
104	left	0	1.083	B2,B2	Exp - Easy 2 & Easy 2	
105	left	0	2.449	o2,B2	Con - Hard 2 & Easy 2	
106	left	0	1.643	B1,o1	Con - Easy 1 & Hard 1	
107	right	1	1.311	O2,B2	Exp - Easy 2 & Easy 2	
108	right	1	1.255	o2,B2	Con - Hard 2 & Easy 2	
109	right	0	1.652	b2,b2	Exp - Hard 2 & Hard 2	
110	left	1	2.182	b2,B2	Con - Hard 2 & Easy 2	
111	left	1	1.552	O1,B1	Exp - Easy 1 & Easy 1	
112	left	1	1.309	B1,B1	Exp - Easy 1 & Easy 1	
113	right	0	1.399	B2,b2	Con - Easy 2 & Hard 2	
114	left	1	1.478	b1,B1	Con - Hard 1 & Easy 1	
115	right	1	1.613	o2,b2	Exp - Hard 2 & Hard 2	
116	left	1	2.223	b1,b1	Exp - Hard 1 & Hard 1	
117	left	0	1.199	o1,B1	Con - Hard 1 & Easy 1	
118	left	1	1.564	B1,b1	Con - Easy 1 & Hard 1	
119	left	1	0.828	b1,B1	Con - Hard 1 & Easy 1	
120	right	0	1.474	B1,b1	Con - Easy 1 & Hard 1	
121	left	0	1.309	B2,B2	Exp - Easy 2 & Easy 2	
122	left	1	1.310	B2,b2	Con - Easy 2 & Hard 2	
123	left	1	1.449	b2,B2	Con - Hard 2 & Easy 2	
124	left	0	1.774	B1,o1	Con - Easy 1 & Hard 1	
125	right	1	2.978	o2,b2	Exp - Hard 2 & Hard 2	
126	left	1	1.047	B2,b2	Con - Easy 2 & Hard 2	
127	left	1	1.202	b2,B2	Con - Hard 2 & Easy 2	
128	left	1	1.423	b1,B1	Con - Hard 1 & Easy 1	
129	left	1	1.047	B2,b2	Con - Easy 2 & Hard 2	
130	right	1	1.257	O2,B2	Exp - Easy 2 & Easy 2	
131	left	1	2.362	b2,B2	Con - Hard 2 & Easy 2	
132	right	1	0.971	O2,B2	Exp - Easy 2 & Easy 2	
133	right	1	1.795	o2,b2	Exp - Hard 2 & Hard 2	
134	left	1	1.840	B2,b2	Con - Easy 2 & Hard 2	
135	left	0	1.333	o1,b1	Exp - Hard 1 & Hard 1	
136	left	1	1.145	b1,B1	Con - Hard 1 & Easy 1	
137	left	1	1.057	O1,B1	Exp - Easy 1 & Easy 1	
