Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
123	right	1	4.639	B1,o1	Con - Easy 1 & Hard 1	
124	left	1	2.721	b1,b1	Exp - Hard 1 & Hard 1	
125	left	1	2.557	b2,b2	Exp - Hard 2 & Hard 2	
126	right	1	1.006	O2,B2	Exp - Easy 2 & Easy 2	
127	right	1	0.756	o1,b1	Exp - Hard 1 & Hard 1	
128	right	1	0.922	o1,b1	Exp - Hard 1 & Hard 1	
129	left	1	0.572	B2,B2	Exp - Easy 2 & Easy 2	
130	left	1	0.738	b2,b2	Exp - Hard 2 & Hard 2	
131	left	1	0.573	b1,B1	Con - Hard 1 & Easy 1	
132	right	1	0.805	O2,B2	Exp - Easy 2 & Easy 2	
133	right	1	0.922	o2,B2	Con - Hard 2 & Easy 2	
134	left	0	1.540	o2,b2	Exp - Hard 2 & Hard 2	
135	left	1	0.777	b2,b2	Exp - Hard 2 & Hard 2	
136	right	1	0.706	o1,b1	Exp - Hard 1 & Hard 1	
