Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
70	right	1	0.614	b2,o2	Exp - Hard 2 & Hard 2	
71	right	0	0.619	O2,O2	Exp - Easy 2 & Easy 2	
72	right	0	0.729	o2,o2	Exp - Hard 2 & Hard 2	
73	right	1	0.629	b1,o1	Exp - Hard 1 & Hard 1	
74	right	1	0.853	O2,b2	Con - Easy 2 & Hard 2	
75	right	0	0.667	o2,o2	Exp - Hard 2 & Hard 2	
76	right	1	1.060	B2,O2	Exp - Easy 2 & Easy 2	
77	right	1	1.617	b1,O1	Con - Hard 1 & Easy 1	
78	right	1	1.010	B1,O1	Exp - Easy 1 & Easy 1	
79	left	1	0.594	O1,O1	Exp - Easy 1 & Easy 1	
80	right	0	0.653	o2,O2	Con - Hard 2 & Easy 2	
81	right	1	0.754	O1,b1	Con - Easy 1 & Hard 1	
82	left	1	1.201	O1,o1	Con - Easy 1 & Hard 1	
83	right	1	0.919	b1,O1	Con - Hard 1 & Easy 1	
84	right	1	0.692	b1,O1	Con - Hard 1 & Easy 1	
85	right	0	0.677	O2,o2	Exp - Easy 2 & Hard 2	
86	right	1	1.623	b1,o1	Exp - Hard 1 & Hard 1	
87	right	0	1.280	o1,o1	Exp - Hard 1 & Hard 1	
88	right	1	3.423	b1,O1	Con - Hard 1 & Easy 1	
89	left	0	1.272	b1,o1	Exp - Hard 1 & Hard 1	
90	right	1	1.526	b2,o2	Exp - Hard 2 & Hard 2	
91	right	1	3.933	B1,O1	Exp - Easy 1 & Easy 1	
92	right	1	0.548	O1,b1	Con - Easy 1 & Hard 1	
93	right	0	0.603	O2,O2	Exp - Easy 2 & Easy 2	
94	right	0	0.997	O2,O2	Exp - Easy 2 & Easy 2	
95	right	1	0.961	O1,b1	Con - Easy 1 & Hard 1	
96	right	1	1.557	B1,O1	Exp - Easy 1 & Easy 1	
97	right	1	0.616	O2,b2	Con - Easy 2 & Hard 2	
98	right	1	0.693	O1,b1	Con - Easy 1 & Hard 1	
99	right	1	0.875	O1,b1	Con - Easy 1 & Hard 1	
100	right	1	1.102	b1,O1	Con - Hard 1 & Easy 1	
101	right	0	0.936	O2,O2	Exp - Easy 2 & Easy 2	
